Date,SPX_return,SPX_volatility_20d,SPX_drawdown,SPX_MA_signal,Mom
2000-04-06,0.009348582996253654,0.01535559685083765,-0.017100284131826737,,0.021099999999999997
2000-04-07,0.00994808862928292,0.015295392384167451,-0.007273512890681344,,0.0246
2000-04-10,-0.007872101457463195,0.015279840486672228,-0.015057677451455365,,-0.0331
2000-04-11,-0.0025756657223554988,0.014481812742208717,-0.017591295353069913,,-0.028900000000000002
2000-04-12,-0.022522988905343863,0.014989133814374975,-0.03947075537166278,,-0.0581
2000-04-13,-0.018338157648510305,0.01162872041338426,-0.056924567582784524,,-0.0167
2000-04-14,-0.06004513393563131,0.017580831003038512,-0.11188509028059657,,-0.03
2000-04-17,0.032548195815906886,0.019360202064635863,-0.08250297880140889,,0.0166
2000-04-18,0.02826026515219442,0.019593341416130516,-0.05620441779162799,,0.0512
2000-04-19,-0.009856898019463543,0.01961371254428973,-0.06546161601613132,,0.0013
