,Bloomberg US Agg Sovereign Avg OAS,Bloomberg US Corporate High Yield Average OAS
,LUAS Index,LF98OAS Index
7/14/2011,1.56,5.36
7/15/2011,1.61,5.38
7/18/2011,1.62,5.41
7/19/2011,1.62,5.41
7/20/2011,1.58,5.35
7/21/2011,1.48,5.25
7/22/2011,1.48,5.25
7/25/2011,1.46,5.23
7/26/2011,1.48,5.26
7/27/2011,1.48,5.23
7/28/2011,1.47,5.27
7/29/2011,1.54,5.4
8/1/2011,1.53,5.48
8/2/2011,1.6,5.65
8/3/2011,1.61,5.73
8/4/2011,1.73,6.01
8/5/2011,1.67,6.09
8/8/2011,1.86,6.7
8/9/2011,1.92,7.04
8/10/2011,1.96,7.15
8/11/2011,1.94,7.25
8/12/2011,1.99,7.14
8/15/2011,1.89,6.97
8/16/2011,1.91,6.97
8/17/2011,1.89,6.93
8/18/2011,1.94,7.09
8/19/2011,1.95,7.16
8/22/2011,1.94,7.18
8/23/2011,1.92,7.33
8/24/2011,1.87,7.31
8/25/2011,1.91,7.31
8/26/2011,1.94,7.36
8/29/2011,1.88,7.28
8/30/2011,1.94,7.27
8/31/2011,1.87,7.08
9/1/2011,1.91,7.03
9/2/2011,2,7.11
9/6/2011,2.07,7.31
9/7/2011,2,7.19
9/8/2011,2.04,7.18
9/9/2011,2.15,7.27
9/12/2011,2.19,7.4
9/13/2011,2.18,7.39
9/14/2011,2.21,7.33
9/15/2011,2.18,7.25
9/16/2011,2.18,7.22
9/19/2011,2.31,7.35
9/20/2011,2.3,7.34
9/21/2011,2.38,7.35
9/22/2011,2.57,7.67
9/23/2011,2.61,7.7
9/26/2011,2.63,7.71
9/27/2011,2.52,7.62
9/28/2011,2.52,7.72
9/29/2011,2.54,7.85
9/30/2011,2.58,8.07
10/3/2011,2.67,8.38
10/4/2011,2.73,8.76
10/5/2011,2.65,8.65
10/6/2011,2.55,8.37
10/7/2011,2.47,8.21
10/11/2011,2.35,8.01
10/12/2011,2.27,7.75
10/13/2011,2.3,7.74
10/14/2011,2.23,7.61
10/17/2011,2.29,7.49
10/18/2011,2.29,7.49
10/19/2011,2.29,7.32
10/20/2011,2.29,7.25
10/21/2011,2.25,7.08
10/24/2011,2.22,6.93
10/25/2011,2.3,6.9
10/26/2011,2.22,6.83
10/27/2011,2.04,6.48
10/28/2011,2.12,6.5
10/31/2011,2.24,6.67
11/1/2011,2.36,6.99
11/2/2011,2.32,6.93
11/3/2011,2.24,6.84
11/4/2011,2.26,6.85
11/7/2011,2.3,6.88
