,Bloomberg US Agg Sovereign Avg OAS,Bloomberg US Corporate High Yield Average OAS
,LUAS Index,LF98OAS Index
8/22/2005,0.74,3.25
8/23/2005,0.74,3.26
8/24/2005,0.73,3.24
8/25/2005,0.74,3.27
8/26/2005,0.71,3.22
8/29/2005,0.71,3.25
8/30/2005,0.76,3.35
8/31/2005,0.76,3.48
9/1/2005,0.76,3.51
9/2/2005,0.73,3.53
9/6/2005,0.71,3.47
9/7/2005,0.7,3.44
9/8/2005,0.69,3.43
9/9/2005,0.69,3.44
9/12/2005,0.67,3.37
9/13/2005,0.69,3.41
9/14/2005,0.67,3.39
9/15/2005,0.67,3.35
9/16/2005,0.66,3.34
9/19/2005,0.67,3.42
9/20/2005,0.67,3.46
9/21/2005,0.69,3.55
9/22/2005,0.7,3.61
9/23/2005,0.67,3.5
9/26/2005,0.68,3.44
9/27/2005,0.68,3.45
9/28/2005,0.69,3.48
9/29/2005,0.67,3.44
9/30/2005,0.66,3.4
10/3/2005,0.67,3.36
10/4/2005,0.7,3.37
10/5/2005,0.72,3.41
10/6/2005,0.76,3.45
10/7/2005,0.74,3.48
10/11/2005,0.72,3.54
10/12/2005,0.76,3.59
10/13/2005,0.78,3.64
10/14/2005,0.79,3.59
10/17/2005,0.76,3.49
10/18/2005,0.74,3.44
10/19/2005,0.74,3.47
10/20/2005,0.74,3.45
10/21/2005,0.76,3.47
10/24/2005,0.72,3.42
10/25/2005,0.7,3.36
10/26/2005,0.69,3.35
10/27/2005,0.7,3.44
10/28/2005,0.7,3.45
10/31/2005,0.68,3.46
11/1/2005,0.68,3.42
11/2/2005,0.68,3.39
11/3/2005,0.67,3.33
11/4/2005,0.69,3.32
11/7/2005,0.7,3.34
11/8/2005,0.71,3.4
11/9/2005,0.67,3.36
11/10/2005,0.69,3.43
11/14/2005,0.65,3.44
11/15/2005,0.66,3.51
11/16/2005,0.66,3.58
11/17/2005,0.65,3.65
11/18/2005,0.63,3.55
11/21/2005,0.64,3.61
11/22/2005,0.66,3.64
11/23/2005,0.63,3.6
11/25/2005,0.64,3.64
11/28/2005,0.64,3.62
11/29/2005,0.62,3.51
11/30/2005,0.64,3.52
12/1/2005,0.65,3.47
12/2/2005,0.66,3.48
12/5/2005,0.65,3.47
12/6/2005,0.71,3.54
12/7/2005,0.68,3.52
12/8/2005,0.71,3.56
12/9/2005,0.68,3.47
12/12/2005,0.68,3.46
12/13/2005,0.68,3.46
12/14/2005,0.7,3.53
12/15/2005,0.69,3.53
12/16/2005,0.7,3.53
12/19/2005,0.69,3.54
12/20/2005,0.69,3.62
12/21/2005,0.68,3.49
12/22/2005,0.7,3.54
12/23/2005,0.72,3.58
12/27/2005,0.71,3.61
12/28/2005,0.69,3.56
12/29/2005,0.69,3.58
12/30/2005,0.69,3.57
1/3/2006,0.7,3.56
1/4/2006,0.7,3.53
1/5/2006,0.7,3.48
1/6/2006,0.69,3.41
1/9/2006,0.7,3.38
1/10/2006,0.69,3.35
1/11/2006,0.68,3.33
1/12/2006,0.7,3.4
1/13/2006,0.71,3.51
1/17/2006,0.7,3.56
1/18/2006,0.69,3.55
1/19/2006,0.66,3.49
1/20/2006,0.66,3.52
1/23/2006,0.66,3.52
1/24/2006,0.64,3.45
1/25/2006,0.62,3.36
1/26/2006,0.62,3.34
1/27/2006,0.63,3.34
1/30/2006,0.63,3.29
1/31/2006,0.64,3.28
2/1/2006,0.62,3.22
2/2/2006,0.63,3.21
2/3/2006,0.64,3.24
2/6/2006,0.63,3.24
2/7/2006,0.64,3.28
2/8/2006,0.62,3.26
2/9/2006,0.63,3.25
2/10/2006,0.61,3.22
2/13/2006,0.62,3.25
2/14/2006,0.62,3.24
2/15/2006,0.63,3.21
2/16/2006,0.63,3.2
2/17/2006,0.64,3.22
2/21/2006,0.63,3.2
2/22/2006,0.64,3.22
2/23/2006,0.58,3.19
2/24/2006,0.58,3.19
2/27/2006,0.56,3.19
2/28/2006,0.59,3.22
3/1/2006,0.59,3.2
3/2/2006,0.61,3.19
3/3/2006,0.6,3.16
3/6/2006,0.62,3.12
3/7/2006,0.66,3.16
3/8/2006,0.68,3.17
3/9/2006,0.67,3.17
3/10/2006,0.66,3.16
3/13/2006,0.66,3.13
3/14/2006,0.68,3.2
3/15/2006,0.68,3.17
3/16/2006,0.7,3.21
3/17/2006,0.68,3.19
3/20/2006,0.69,3.18
3/21/2006,0.68,3.08
3/22/2006,0.69,3.08
3/23/2006,0.69,3.06
3/24/2006,0.73,3.1
3/27/2006,0.73,3.07
3/28/2006,0.71,3
3/29/2006,0.72,3.02
3/30/2006,0.71,2.99
3/31/2006,0.72,3.01
4/3/2006,0.71,2.97
4/4/2006,0.72,2.99
4/5/2006,0.75,3
4/6/2006,0.74,3
4/7/2006,0.74,2.95
4/10/2006,0.74,2.99
4/11/2006,0.74,3
4/12/2006,0.72,2.96
4/13/2006,0.72,2.93
4/17/2006,0.74,2.98
4/18/2006,0.75,3.01
4/19/2006,0.72,2.97
4/20/2006,0.71,2.94
4/21/2006,0.72,2.94
4/24/2006,0.72,2.97
4/25/2006,0.7,2.9
4/26/2006,0.69,2.89
4/27/2006,0.71,2.92
4/28/2006,0.7,2.92
5/1/2006,0.68,2.86
5/2/2006,0.69,2.85
5/3/2006,0.68,2.83
5/4/2006,0.68,2.83
5/5/2006,0.69,2.86
5/8/2006,0.69,2.84
5/9/2006,0.69,2.82
5/10/2006,0.69,2.8
5/11/2006,0.7,2.78
5/12/2006,0.7,2.78
5/15/2006,0.74,2.83
5/16/2006,0.73,2.89
5/17/2006,0.75,2.94
5/18/2006,0.76,2.99
5/19/2006,0.76,2.99
5/22/2006,0.78,3.06
5/23/2006,0.79,3.04
5/24/2006,0.82,3.09
5/25/2006,0.79,3.05
5/26/2006,0.8,3.04
5/30/2006,0.8,3.02
5/31/2006,0.79,2.98
6/1/2006,0.78,3.01
6/2/2006,0.81,3.1
6/5/2006,0.79,3.08
6/6/2006,0.81,3.13
6/7/2006,0.8,3.1
6/8/2006,0.81,3.16
6/9/2006,0.82,3.16
6/12/2006,0.82,3.14
6/13/2006,0.84,3.22
6/14/2006,0.82,3.21
6/15/2006,0.81,3.2
6/16/2006,0.8,3.16
6/19/2006,0.81,3.16
6/20/2006,0.82,3.2
6/21/2006,0.82,3.25
6/22/2006,0.82,3.24
6/23/2006,0.82,3.22
6/26/2006,0.83,3.25
6/27/2006,0.84,3.28
6/28/2006,0.79,3.24
6/29/2006,0.81,3.24
6/30/2006,0.8,3.2
7/3/2006,0.76,3.18
7/5/2006,0.74,3.13
7/6/2006,0.75,3.17
7/7/2006,0.73,3.19
7/10/2006,0.72,3.17
7/11/2006,0.73,3.19
7/12/2006,0.71,3.19
7/13/2006,0.73,3.26
7/14/2006,0.73,3.31
7/17/2006,0.73,3.31
7/18/2006,0.71,3.25
7/19/2006,0.72,3.31
7/20/2006,0.72,3.31
7/21/2006,0.71,3.3
7/24/2006,0.71,3.3
7/25/2006,0.71,3.27
7/26/2006,0.72,3.27
7/27/2006,0.71,3.25
7/28/2006,0.73,3.3
7/31/2006,0.73,3.32
8/1/2006,0.73,3.31
8/2/2006,0.72,3.29
8/3/2006,0.72,3.29
8/4/2006,0.73,3.32
8/7/2006,0.71,3.3
8/8/2006,0.72,3.3
8/9/2006,0.71,3.3
8/10/2006,0.68,3.31
8/11/2006,0.66,3.28
8/14/2006,0.65,3.26
8/15/2006,0.67,3.31
8/16/2006,0.67,3.32
8/17/2006,0.66,3.29
8/18/2006,0.67,3.32
8/21/2006,0.67,3.33
8/22/2006,0.66,3.34
8/23/2006,0.66,3.34
8/24/2006,0.66,3.34
8/25/2006,0.66,3.35
8/28/2006,0.66,3.32
8/29/2006,0.66,3.32
8/30/2006,0.66,3.31
8/31/2006,0.67,3.35
9/1/2006,0.68,3.33
9/5/2006,0.66,3.28
9/6/2006,0.66,3.26
9/7/2006,0.65,3.26
9/8/2006,0.65,3.27
9/11/2006,0.64,3.25
9/12/2006,0.65,3.26
9/13/2006,0.65,3.23
9/14/2006,0.63,3.2
9/15/2006,0.63,3.2
9/18/2006,0.62,3.19
9/19/2006,0.65,3.25
9/20/2006,0.64,3.25
9/21/2006,0.68,3.33
9/22/2006,0.67,3.38
9/25/2006,0.67,3.4
9/26/2006,0.65,3.36
9/27/2006,0.67,3.32
9/28/2006,0.66,3.3
9/29/2006,0.66,3.27
10/2/2006,0.67,3.28
10/3/2006,0.67,3.28
10/4/2006,0.68,3.29
10/5/2006,0.66,3.24
10/6/2006,0.64,3.16
10/10/2006,0.63,3.12
10/11/2006,0.63,3.09
10/12/2006,0.63,3.08
10/13/2006,0.62,3.05
10/16/2006,0.62,3.05
10/17/2006,0.62,3.07
10/18/2006,0.62,3.06
10/19/2006,0.61,3.05
10/20/2006,0.61,3.05
10/23/2006,0.61,3.03
10/24/2006,0.61,3.03
10/25/2006,0.61,3.08
10/26/2006,0.61,3.11
10/27/2006,0.61,3.13
10/30/2006,0.61,3.1
10/31/2006,0.62,3.16
11/1/2006,0.63,3.16
11/2/2006,0.62,3.12
11/3/2006,0.6,3.01
11/6/2006,0.62,3.01
11/7/2006,0.62,3.01
11/8/2006,0.62,3.03
11/9/2006,0.62,3.01
11/10/2006,0.62,3.03
11/13/2006,0.61,3.01
11/14/2006,0.62,3.01
11/15/2006,0.62,2.95
11/16/2006,0.61,2.9
11/17/2006,0.62,2.95
11/20/2006,0.62,2.97
11/21/2006,0.62,3.03
11/22/2006,0.62,3.05
11/24/2006,0.62,3.06
11/27/2006,0.62,3.08
11/28/2006,0.62,3.12
11/29/2006,0.62,3.06
11/30/2006,0.65,3.1
12/1/2006,0.67,3.11
12/4/2006,0.67,3.1
12/5/2006,0.66,3.02
12/6/2006,0.64,2.96
12/7/2006,0.63,2.94
12/8/2006,0.62,2.89
12/11/2006,0.62,2.91
12/12/2006,0.62,2.95
12/13/2006,0.6,2.9
12/14/2006,0.6,2.9
12/15/2006,0.59,2.91
12/18/2006,0.59,2.89
12/19/2006,0.6,2.89
12/20/2006,0.59,2.88
12/21/2006,0.6,2.91
12/22/2006,0.59,2.84
12/26/2006,0.59,2.86
12/27/2006,0.58,2.8
12/28/2006,0.57,2.76
12/29/2006,0.57,2.75
1/2/2007,0.58,2.77
1/3/2007,0.58,2.77
1/4/2007,0.58,2.82
1/5/2007,0.58,2.8
1/8/2007,0.57,2.78
1/9/2007,0.57,2.76
1/10/2007,0.57,2.74
1/11/2007,0.56,2.68
1/12/2007,0.56,2.67
1/16/2007,0.56,2.66
1/17/2007,0.56,2.61
1/18/2007,0.57,2.62
1/19/2007,0.56,2.59
1/22/2007,0.54,2.59
1/23/2007,0.53,2.55
1/24/2007,0.53,2.54
1/25/2007,0.52,2.48
1/26/2007,0.53,2.5
1/29/2007,0.53,2.49
1/30/2007,0.56,2.53
1/31/2007,0.57,2.58
2/1/2007,0.56,2.54
2/2/2007,0.56,2.55
2/5/2007,0.56,2.56
2/6/2007,0.55,2.56
2/7/2007,0.56,2.54
2/8/2007,0.56,2.54
2/9/2007,0.55,2.49
2/12/2007,0.54,2.48
2/13/2007,0.54,2.47
2/14/2007,0.54,2.51
2/15/2007,0.55,2.5
2/16/2007,0.56,2.48
2/20/2007,0.58,2.48
2/21/2007,0.58,2.45
2/22/2007,0.57,2.41
2/23/2007,0.58,2.47
2/26/2007,0.59,2.5
2/27/2007,0.61,2.7
2/28/2007,0.6,2.66
3/1/2007,0.62,2.71
3/2/2007,0.63,2.79
3/5/2007,0.61,2.87
3/6/2007,0.61,2.84
3/7/2007,0.61,2.81
3/8/2007,0.61,2.74
3/9/2007,0.59,2.65
3/12/2007,0.59,2.7
3/13/2007,0.6,2.82
3/14/2007,0.6,2.85
3/15/2007,0.6,2.8
3/16/2007,0.59,2.81
3/19/2007,0.61,2.78
3/20/2007,0.61,2.81
3/21/2007,0.61,2.83
3/22/2007,0.6,2.75
3/23/2007,0.59,2.72
3/26/2007,0.59,2.75
3/27/2007,0.59,2.75
3/28/2007,0.58,2.78
3/29/2007,0.58,2.76
3/30/2007,0.58,2.75
4/2/2007,0.59,2.76
4/3/2007,0.59,2.74
4/4/2007,0.59,2.78
4/5/2007,0.58,2.76
4/9/2007,0.58,2.7
4/10/2007,0.58,2.71
4/11/2007,0.57,2.7
4/12/2007,0.57,2.69
4/13/2007,0.57,2.66
4/16/2007,0.57,2.64
4/17/2007,0.57,2.68
4/18/2007,0.57,2.68
4/19/2007,0.57,2.67
4/20/2007,0.56,2.64
4/23/2007,0.56,2.65
4/24/2007,0.56,2.66
4/25/2007,0.56,2.63
4/26/2007,0.55,2.59
4/27/2007,0.55,2.59
4/30/2007,0.56,2.66
5/1/2007,0.56,2.66
5/2/2007,0.56,2.64
5/3/2007,0.55,2.59
5/4/2007,0.56,2.61
5/7/2007,0.55,2.61
5/8/2007,0.55,2.61
5/9/2007,0.54,2.56
5/10/2007,0.55,2.57
5/11/2007,0.55,2.55
5/14/2007,0.54,2.47
5/15/2007,0.53,2.46
5/16/2007,0.54,2.46
5/17/2007,0.54,2.42
5/18/2007,0.53,2.37
5/21/2007,0.54,2.38
5/22/2007,0.53,2.33
5/23/2007,0.53,2.33
5/24/2007,0.53,2.33
5/25/2007,0.54,2.33
5/29/2007,0.53,2.33
5/30/2007,0.53,2.35
5/31/2007,0.54,2.38
6/1/2007,0.55,2.34
6/4/2007,0.54,2.37
6/5/2007,0.54,2.34
6/6/2007,0.55,2.39
6/7/2007,0.55,2.42
6/8/2007,0.56,2.46
6/11/2007,0.57,2.46
6/12/2007,0.57,2.44
6/13/2007,0.58,2.48
6/14/2007,0.57,2.45
6/15/2007,0.58,2.47
6/18/2007,0.58,2.49
6/19/2007,0.57,2.56
6/20/2007,0.58,2.55
6/21/2007,0.59,2.62
6/22/2007,0.59,2.66
6/25/2007,0.59,2.79
6/26/2007,0.59,2.77
6/27/2007,0.61,2.88
6/28/2007,0.6,2.85
6/29/2007,0.62,2.92
7/2/2007,0.63,2.95
7/3/2007,0.63,2.92
7/5/2007,0.62,2.86
7/6/2007,0.6,2.83
7/9/2007,0.6,2.88
7/10/2007,0.62,3.06
7/11/2007,0.62,3.11
7/12/2007,0.62,3.03
7/13/2007,0.61,2.99
7/16/2007,0.63,3.03
7/17/2007,0.62,3.01
7/18/2007,0.63,3.17
7/19/2007,0.64,3.17
7/20/2007,0.65,3.33
7/23/2007,0.66,3.42
7/24/2007,0.66,3.58
7/25/2007,0.67,3.67
7/26/2007,0.71,4.09
7/27/2007,0.71,4.24
7/30/2007,0.79,4.22
7/31/2007,0.85,4.13
8/1/2007,0.84,4.16
8/2/2007,0.85,4.09
8/3/2007,0.84,4.14
8/6/2007,0.81,4.18
8/7/2007,0.8,4.1
8/8/2007,0.78,3.83
8/9/2007,0.77,3.94
8/10/2007,0.77,4.01
8/13/2007,0.78,3.98
8/14/2007,0.8,4.06
8/15/2007,0.86,4.24
8/16/2007,0.98,4.49
8/17/2007,0.91,4.45
8/20/2007,0.93,4.47
8/21/2007,0.93,4.52
8/22/2007,0.91,4.4
8/23/2007,0.9,4.33
8/24/2007,0.88,4.28
8/27/2007,0.86,4.3
8/28/2007,0.88,4.43
8/29/2007,0.85,4.43
8/30/2007,0.9,4.48
8/31/2007,0.88,4.42
9/4/2007,0.87,4.4
9/5/2007,0.89,4.47
9/6/2007,0.87,4.42
9/7/2007,0.89,4.58
9/10/2007,0.89,4.65
9/11/2007,0.88,4.59
9/12/2007,0.88,4.53
9/13/2007,0.86,4.41
9/14/2007,0.86,4.42
9/17/2007,0.87,4.38
9/18/2007,0.87,4.33
9/19/2007,0.83,4.17
9/20/2007,0.78,4.09
9/21/2007,0.83,4.03
9/24/2007,0.83,3.97
9/25/2007,0.82,4.02
9/26/2007,0.84,4
9/27/2007,0.84,4.03
9/28/2007,0.82,4.05
10/1/2007,0.81,4.03
10/2/2007,0.81,4.04
10/3/2007,0.81,4.01
10/4/2007,0.82,3.98
10/5/2007,0.79,3.86
10/9/2007,0.78,3.82
10/10/2007,0.78,3.78
10/11/2007,0.78,3.71
10/12/2007,0.75,3.69
10/15/2007,0.76,3.7
10/16/2007,0.76,3.79
10/17/2007,0.79,3.95
10/18/2007,0.8,4.1
10/19/2007,0.82,4.24
10/22/2007,0.82,4.28
10/23/2007,0.81,4.23
10/24/2007,0.81,4.31
10/25/2007,0.81,4.29
10/26/2007,0.8,4.29
10/29/2007,0.8,4.29
10/30/2007,0.8,4.31
10/31/2007,0.75,4.21
11/1/2007,0.82,4.38
11/2/2007,0.85,4.5
11/5/2007,0.85,4.53
11/6/2007,0.84,4.51
11/7/2007,0.89,4.62
11/8/2007,0.92,4.76
11/9/2007,0.92,4.87
11/13/2007,0.91,4.93
11/14/2007,0.91,4.9
11/15/2007,0.99,5.13
11/16/2007,0.97,5.23
11/19/2007,1,5.46
11/20/2007,1.03,5.57
11/21/2007,1.03,5.74
11/23/2007,1.01,5.7
11/26/2007,1.1,5.83
11/27/2007,1.06,5.79
11/28/2007,1.01,5.65
11/29/2007,1.04,5.64
11/30/2007,1.05,5.56
12/3/2007,1.06,5.63
12/4/2007,1.08,5.71
12/5/2007,1.1,5.68
12/6/2007,1.07,5.55
12/7/2007,1.11,5.45
12/10/2007,1.11,5.39
12/11/2007,1.15,5.51
12/12/2007,1.11,5.44
12/13/2007,1.06,5.41
12/14/2007,1.08,5.36
12/17/2007,1.09,5.44
12/18/2007,1.07,5.52
12/19/2007,1.08,5.56
12/20/2007,1.08,5.63
12/21/2007,1.06,5.53
12/24/2007,1.04,5.51
12/26/2007,1.01,5.45
12/27/2007,1.08,5.55
12/28/2007,1.07,5.64
12/31/2007,1.09,5.69
1/2/2008,1.1,5.84
1/3/2008,1.12,5.91
1/4/2008,1.1,6.09
1/7/2008,1.11,6.17
1/8/2008,1.1,6.23
1/9/2008,1.11,6.45
1/10/2008,1.09,6.36
1/11/2008,1.12,6.41
1/14/2008,1.12,6.42
1/15/2008,1.13,6.48
1/16/2008,1.11,6.56
1/17/2008,1.15,6.72
1/18/2008,1.16,6.78
1/22/2008,1.21,7.13
1/23/2008,1.16,7.21
1/24/2008,1.19,6.85
1/25/2008,1.22,6.72
1/28/2008,1.21,6.76
1/29/2008,1.22,6.6
1/30/2008,1.21,6.56
1/31/2008,1.22,6.68
2/1/2008,1.23,6.7
2/4/2008,1.26,6.66
2/5/2008,1.25,6.8
2/6/2008,1.27,6.84
2/7/2008,1.23,6.85
2/8/2008,1.3,7
2/11/2008,1.28,7.11
2/12/2008,1.32,7.11
2/13/2008,1.29,7.11
2/14/2008,1.27,7.01
2/15/2008,1.31,7.09
2/19/2008,1.27,7.01
2/20/2008,1.3,6.99
2/21/2008,1.31,7.09
2/22/2008,1.29,7.09
2/25/2008,1.26,6.93
2/26/2008,1.24,6.93
2/27/2008,1.21,6.93
2/28/2008,1.24,7.12
2/29/2008,1.34,7.45
3/3/2008,1.36,7.48
3/4/2008,1.31,7.45
3/5/2008,1.32,7.36
3/6/2008,1.38,7.47
3/7/2008,1.41,7.6
3/10/2008,1.46,7.74
3/11/2008,1.36,7.6
3/12/2008,1.41,7.79
3/13/2008,1.36,7.93
3/14/2008,1.46,8.06
3/17/2008,1.46,8.31
3/18/2008,1.39,8.12
3/19/2008,1.45,8.07
3/20/2008,1.46,8.13
3/24/2008,1.31,7.79
3/25/2008,1.35,7.67
3/26/2008,1.35,7.69
3/27/2008,1.34,7.63
3/28/2008,1.36,7.68
3/31/2008,1.35,7.81
4/1/2008,1.33,7.6
4/2/2008,1.31,7.42
4/3/2008,1.29,7.33
4/4/2008,1.31,7.31
4/7/2008,1.23,7.11
4/8/2008,1.23,7.16
4/9/2008,1.28,7.33
4/10/2008,1.24,7.33
4/11/2008,1.25,7.38
4/14/2008,1.24,7.31
4/15/2008,1.24,7.29
4/16/2008,1.23,7.1
4/17/2008,1.24,7.01
4/18/2008,1.26,6.8
4/21/2008,1.23,6.78
4/22/2008,1.2,6.71
4/23/2008,1.21,6.69
4/24/2008,1.18,6.55
4/25/2008,1.17,6.47
4/28/2008,1.18,6.49
4/29/2008,1.14,6.52
4/30/2008,1.17,6.53
5/1/2008,1.12,6.46
5/2/2008,1.1,6.29
5/5/2008,1.1,6.29
5/6/2008,1.08,6.34
5/7/2008,1.13,6.35
5/8/2008,1.13,6.47
5/9/2008,1.13,6.53
5/12/2008,1.13,6.53
5/13/2008,1.08,6.37
5/14/2008,1.09,6.3
5/15/2008,1.11,6.35
5/16/2008,1.05,6.29
5/19/2008,1.08,6.26
5/20/2008,1.1,6.34
5/21/2008,1.09,6.3
5/22/2008,1.09,6.23
5/23/2008,1.11,6.35
5/27/2008,1.09,6.35
5/28/2008,1.1,6.25
5/29/2008,1.12,6.2
5/30/2008,1.17,6.22
6/2/2008,1.18,6.33
6/3/2008,1.22,6.45
6/4/2008,1.19,6.46
6/5/2008,1.19,6.19
6/6/2008,1.22,6.26
6/9/2008,1.22,6.15
6/10/2008,1.16,6.05
6/11/2008,1.21,6.13
6/12/2008,1.18,6.06
6/13/2008,1.14,6.02
6/16/2008,1.18,6.04
6/17/2008,1.18,6.06
6/18/2008,1.22,6.19
6/19/2008,1.18,6.18
6/20/2008,1.24,6.36
6/23/2008,1.24,6.42
6/24/2008,1.31,6.67
6/25/2008,1.32,6.67
6/26/2008,1.42,6.89
6/27/2008,1.45,7.05
6/30/2008,1.47,7.08
7/1/2008,1.5,7.19
7/2/2008,1.54,7.29
7/3/2008,1.55,7.36
7/7/2008,1.58,7.47
7/8/2008,1.58,7.58
7/9/2008,1.6,7.52
7/10/2008,1.59,7.6
7/11/2008,1.5,7.58
7/14/2008,1.56,7.63
7/15/2008,1.61,7.81
7/16/2008,1.58,7.76
7/17/2008,1.5,7.54
7/18/2008,1.51,7.41
7/21/2008,1.53,7.33
7/22/2008,1.48,7.34
7/23/2008,1.45,7.2
7/24/2008,1.51,7.39
7/25/2008,1.45,7.36
7/28/2008,1.5,7.56
7/29/2008,1.5,7.58
7/30/2008,1.49,7.56
7/31/2008,1.51,7.67
8/1/2008,1.52,7.81
8/4/2008,1.51,7.83
8/5/2008,1.49,7.8
8/6/2008,1.48,7.73
8/7/2008,1.53,7.85
8/8/2008,1.52,7.84
8/11/2008,1.5,7.76
8/12/2008,1.55,7.8
8/13/2008,1.51,7.77
8/14/2008,1.56,7.83
8/15/2008,1.57,7.83
8/18/2008,1.61,7.88
8/19/2008,1.6,7.94
8/20/2008,1.63,8
8/21/2008,1.59,8.01
8/22/2008,1.59,7.96
8/25/2008,1.65,8.03
8/26/2008,1.64,8.02
8/27/2008,1.65,8.04
8/28/2008,1.62,7.98
8/29/2008,1.59,7.94
9/2/2008,1.65,8.03
9/3/2008,1.67,8.11
9/4/2008,1.71,8.18
9/5/2008,1.68,8.18
9/8/2008,1.67,8.08
9/9/2008,1.69,8.16
9/10/2008,1.69,8.18
9/11/2008,1.72,8.23
9/12/2008,1.68,8.15
9/15/2008,2.03,8.7
9/16/2008,2.13,9.55
9/17/2008,2.27,9.33
9/18/2008,2.26,9.51
9/19/2008,1.96,8.82
9/22/2008,1.94,8.79
9/23/2008,1.94,9.01
9/24/2008,1.98,9.26
9/25/2008,1.94,9.46
9/26/2008,1.92,9.78
9/29/2008,2.05,10.19
9/30/2008,2.1,10.2
10/1/2008,2.15,10.35
10/2/2008,2.19,11.04
10/3/2008,2.22,11.22
10/6/2008,2.44,11.99
10/7/2008,2.54,12.18
10/8/2008,2.58,12.38
10/9/2008,2.57,12.77
10/10/2008,2.89,13.95
10/14/2008,2.73,13.21
10/15/2008,2.88,13.76
10/16/2008,3.02,14.23
10/17/2008,3.04,14.46
10/20/2008,3.14,14.34
10/21/2008,3.45,14.43
10/22/2008,3.98,14.58
10/23/2008,4.33,14.8
10/24/2008,4.32,15.06
10/27/2008,4.18,15.17
10/28/2008,3.83,15.05
10/29/2008,3.64,14.79
10/30/2008,3.52,14.59
10/31/2008,3.28,14.79
11/3/2008,3.27,14.93
11/4/2008,3.23,14.86
11/5/2008,3.3,14.79
11/6/2008,3.39,14.92
11/7/2008,3.31,15.03
11/10/2008,3.31,15.1
11/12/2008,3.46,15.52
11/13/2008,3.48,15.69
11/14/2008,3.52,15.91
11/17/2008,3.51,16.14
11/18/2008,3.71,16.61
11/19/2008,3.88,17.24
11/20/2008,4.04,18.03
11/21/2008,4.03,18.39
11/24/2008,3.86,18.29
11/25/2008,3.79,18.4
11/26/2008,3.79,18.36
11/28/2008,3.78,18.33
12/1/2008,3.97,18.63
12/2/2008,3.93,18.58
12/3/2008,3.85,18.78
12/4/2008,3.85,19.03
12/5/2008,3.81,19.17
12/8/2008,3.69,19.07
12/9/2008,3.69,19.02
12/10/2008,3.62,19.07
12/11/2008,3.65,19.34
12/12/2008,3.71,19.64
12/15/2008,3.7,19.63
12/16/2008,3.8,19.71
12/17/2008,3.49,19.53
12/18/2008,3.38,19.26
12/19/2008,3.39,18.99
12/22/2008,3.3,18.75
12/23/2008,3.27,18.4
12/24/2008,3.25,18.29
12/26/2008,3.26,18.03
12/29/2008,3.27,17.75
12/30/2008,3.32,17.01
12/31/2008,3.19,16.62
1/2/2009,3.07,16.41
1/5/2009,3.04,16
1/6/2009,3.01,15.31
1/7/2009,3.05,15.05
1/8/2009,3.19,15.35
1/9/2009,3.16,15.3
1/12/2009,3.23,15.3
1/13/2009,3.33,15.4
1/14/2009,3.35,15.53
1/15/2009,3.37,15.58
1/16/2009,3.29,15.4
1/20/2009,3.32,15.46
1/21/2009,3.23,15.29
1/22/2009,3.15,15.26
1/23/2009,3.14,15.27
1/26/2009,3.09,15.25
1/27/2009,3.14,15.26
1/28/2009,3.02,14.91
1/29/2009,3,14.7
1/30/2009,3.03,14.76
2/2/2009,3.18,14.81
2/3/2009,3.11,14.7
2/4/2009,3.17,14.54
2/5/2009,3.27,14.45
2/6/2009,3.1,14.37
2/9/2009,3.02,14.28
2/10/2009,3.19,14.33
2/11/2009,3.25,14.39
2/12/2009,3.28,14.51
2/13/2009,3.15,14.45
2/17/2009,3.37,14.68
2/18/2009,3.26,14.78
2/19/2009,3.11,14.76
2/20/2009,3.23,14.98
2/23/2009,3.2,15.02
2/24/2009,3.15,15.35
2/25/2009,3.03,15.27
2/26/2009,3.03,15.27
2/27/2009,3.09,15.44
3/2/2009,3.28,15.81
3/3/2009,3.31,16.1
3/4/2009,3.22,16.21
3/5/2009,3.38,16.53
3/6/2009,3.39,16.62
3/9/2009,3.35,16.84
3/10/2009,3.3,16.68
3/11/2009,3.3,16.42
3/12/2009,3.33,16.35
3/13/2009,3.31,16.12
3/16/2009,3.23,15.83
3/17/2009,3.18,15.76
3/18/2009,3.49,16.14
3/19/2009,3.35,15.91
3/20/2009,3.27,15.89
3/23/2009,3.23,15.7
3/24/2009,3.23,15.63
3/25/2009,3.15,15.44
3/26/2009,3.17,15.29
3/27/2009,3.17,15
3/30/2009,3.22,15.16
3/31/2009,3.23,15.14
4/1/2009,3.25,15.17
4/2/2009,3.13,14.83
4/3/2009,2.95,14.55
4/6/2009,2.89,14.56
4/7/2009,2.92,14.57
4/8/2009,2.91,14.51
4/9/2009,2.84,14.34
4/13/2009,2.91,14.28
4/14/2009,2.93,13.99
4/15/2009,2.93,13.9
4/16/2009,2.91,13.53
4/17/2009,2.85,13.1
4/20/2009,2.95,13.21
4/21/2009,2.9,13.31
4/22/2009,2.92,13.17
4/23/2009,2.96,13.14
4/24/2009,2.87,12.92
4/27/2009,2.95,13.02
4/28/2009,2.86,12.94
4/29/2009,2.79,12.65
4/30/2009,2.75,12.19
5/1/2009,2.73,12.08
5/4/2009,2.71,11.93
5/5/2009,2.7,11.81
5/6/2009,2.58,11.65
5/7/2009,2.42,11.24
5/8/2009,2.39,11.12
5/11/2009,2.46,11.27
