,S&P 500 INDEX,Russell 1000 Value Index,Russell 2000 Total Return Index,Russell 2000 Index,Bloomberg US Corporate Total Return Value Unhedged USD,Bloomberg US Corporate High Yield Total Return Index Value Unhedged USD,LBMA Gold Price PM USD
,SPX Index,RLV Index,RU20INTR Index,RTY Index,LUACTRUU Index,LF98TRUU Index,GOLDLNPM Index
9/29/2006,1335.85,762.18,3056.75,725.611,1579.83,848.38,599.25
10/2/2006,1331.32,760.61,3028.18,718.823,1580.95,848.93,600.6
10/3/2006,1334.11,761.29,3026.33,718.368,1581.78,849.27,582.25
10/4/2006,1350.22,769.03,3090.27,733.491,1586.4,850.84,573.6
10/5/2006,1353.22,770.25,3131.04,743.097,1582.76,851.23,573.3
10/6/2006,1349.58,768.27,3117.26,739.827,1574.94,850.85,560.75
10/9/2006,1350.66,769.06,3137.31,744.584,,,575.25
10/10/2006,1353.42,771.32,3142.87,745.901,1571.19,851.1,571.4
10/11/2006,1349.95,769.51,3125.55,741.731,1567.8,851.43,574.1
10/12/2006,1362.83,776.37,3190.49,757.108,1569,852.45,573
10/13/2006,1365.62,778.54,3213.94,762.665,1567.3,853.03,586.1
10/16/2006,1369.06,780.41,3242.76,769.502,1569.91,853.89,595.1
10/17/2006,1364.05,778.34,3223.5,764.926,1571.42,853.85,590
10/18/2006,1365.96,779.83,3217.33,763.431,1573.07,854.6,594
10/19/2006,1366.96,779.82,3234.13,767.41,1572.05,854.76,597.25
10/20/2006,1368.6,780.35,3211.99,762.146,1572.54,854.94,596.6
10/23/2006,1377.02,784.26,3217.68,763.493,1569.22,854.88,582.75
10/24/2006,1377.38,785.24,3213.27,762.445,1569.82,855.07,575.6
10/25/2006,1382.23,789.01,3233.23,767.169,1574.55,855.31,580.75
10/26/2006,1389.09,792.71,3270.68,776.034,1580.2,856.89,596.25
10/27/2006,1377.34,787.28,3228.18,765.854,1584.73,858.25,596.25
10/30/2006,1377.93,786.35,3247.53,770.381,1586.18,859.18,608.5
10/31/2006,1377.94,785.91,3232.75,766.863,1592.61,859.92,603.75
11/1/2006,1367.81,780.93,3170.93,752.163,1597.44,861.78,614.1
11/2/2006,1367.34,780.51,3162.6,750.15,1594.77,862.45,620.75
11/3/2006,1364.3,779.63,3173.63,752.749,1584.66,862.37,622.75
11/6/2006,1379.78,788.15,3217.34,763.101,1586.7,863.13,626.1
11/7/2006,1382.84,788.78,3222.94,764.41,1591.74,864.96,625.75
11/8/2006,1385.72,791.71,3246.23,769.856,1594.25,865.71,623.2
11/9/2006,1378.33,788.56,3213.56,762.079,1595.03,866.81,625.25
11/10/2006,1380.9,789.63,3243.48,769.171,1598.88,867.57,629.3
11/13/2006,1384.42,791.2,3257.51,772.427,1597.27,868.34,623.5
11/14/2006,1393.22,794.61,3311.09,785.079,1601.71,869.71,627
11/15/2006,1396.57,795.4,3340.34,791.979,1597.44,870.12,617.75
11/16/2006,1399.76,795.83,3335.46,790.766,1594.18,871.16,624.75
11/17/2006,1401.2,797.66,3325.91,788.493,1599.66,871.6,620.5
11/20/2006,1400.5,797.62,3335.09,790.642,1601.29,871.76,625.5
11/21/2006,1402.81,798.83,3342.04,792.19,1603.27,870.42,624.5
11/22/2006,1406.09,799.46,3345.47,792.925,1604.22,870.37,631.8
11/23/2006,,,,,,,630.25
11/24/2006,1400.95,797.11,3342.89,792.303,1606.75,870.94,639.5
11/27/2006,1381.9,788.08,3257.76,772.114,1608.11,871.25,638.75
11/28/2006,1386.72,790.83,3269.41,774.833,1610.67,870.76,637
11/29/2006,1399.48,799.37,3309.5,784.179,1610,872.63,637.5
11/30/2006,1400.63,801.21,3317.79,786.136,1615.96,874.37,646.7
12/1/2006,1396.71,800.75,3296.97,781.185,1619.61,876.06,648.75
12/4/2006,1409.12,805.3,3359.04,795.865,1620.07,876.81,646
12/5/2006,1414.76,808.67,3365.72,797.44,1619.97,878.65,645.9
12/6/2006,1412.9,807.51,3359.73,795.957,1617.21,879.87,636
12/7/2006,1407.29,805.48,3344.41,792.309,1617.42,880.66,627.75
12/8/2006,1409.84,806.91,3345.64,792.582,1610.44,879.82,637.4
12/11/2006,1413.04,810.27,3347.83,793.09,1614.05,880.73,626.75
12/12/2006,1411.56,810.45,3328.2,788.428,1616.9,880.71,628
12/13/2006,1413.21,811.82,3330.43,788.769,1608.62,879.59,624
12/14/2006,1425.49,818.45,3353.57,794.234,1606.39,879.13,627.4
12/15/2006,1427.09,819.27,3347.42,792.725,1606.5,879.1,623.75
12/18/2006,1422.48,816.85,3302.36,782.043,1607.93,880.4,614
12/19/2006,1425.55,819.52,3302.85,782.114,1607.3,880.54,620.5
12/20/2006,1423.53,818.57,3317.84,785.581,1608,881.18,619.25
12/21/2006,1418.3,816.2,3306.68,782.92,1612.42,882.16,620.5
12/22/2006,1410.77,812.5,3297.91,780.837,1605.92,882.35,
12/26/2006,1416.9,816.96,3329.16,788.185,1608.98,883.32,
12/27/2006,1426.84,823.18,3371.18,797.75,1604.51,883.48,628.5
12/28/2006,1424.73,822,3357.67,794.497,1601.46,883.59,632
12/29/2006,1418.3,817.76,3328.9,787.682,1601.26,883.97,
1/2/2007,,,,,1603.49,884.82,639.75
1/3/2007,1416.6,815.48,3328.03,787.436,1606.49,885.83,642.6
1/4/2007,1418.34,813.18,3338.81,789.964,1611.21,886.39,628.7
1/5/2007,1409.71,808.01,3279.43,775.885,1609.08,885.91,609.5
1/8/2007,1412.84,809.42,3284.33,777.014,1609.07,886.55,609.5
1/9/2007,1412.11,807.6,3289.98,778.347,1609.3,887.5,609.6
1/10/2007,1414.85,807.88,3292.5,778.885,1607.45,887.71,608.4
1/11/2007,1423.83,811.39,3333.11,788.472,1603.22,887.95,612
1/12/2007,1430.73,815.57,3357.7,794.283,1600.08,887.98,619.75
1/15/2007,,,,,,,627
1/16/2007,1431.9,815.68,3345.92,791.494,1603.21,889.73,627.05
1/17/2007,1430.62,816.11,3334.56,788.789,1600.71,891.09,626.5
1/18/2007,1426.37,815.4,3289.95,778.227,1604.5,891.78,635
1/19/2007,1430.5,819.26,3319.41,785.181,1602.81,891.96,629
1/22/2007,1422.96,816.38,3289.01,777.983,1604.97,893.24,639
1/23/2007,1427.99,820.34,3320.41,785.397,1601.62,893.61,642.5
1/24/2007,1440.13,826.79,3357.03,794.049,1601.9,894.46,642.1
1/25/2007,1423.9,817.54,3315.5,784.213,1597.19,894.8,651.75
1/26/2007,1422.18,817.62,3332.21,788.161,1595.96,893.87,645.5
1/29/2007,1420.62,816.45,3353.58,793.115,1595.44,894.65,644.75
1/30/2007,1428.82,822.25,3374.43,797.986,1596.54,893.63,645.2
1/31/2007,1438.24,826.9,3384.61,800.363,1601.38,893.84,650.5
2/1/2007,1445.94,832.42,3416.21,807.788,1600.82,895.01,660.2
2/2/2007,1448.39,834.41,3423.24,809.434,1602.31,895.58,645.7
2/5/2007,1446.99,834.25,3411.75,806.712,1605.15,896.76,649.4
2/6/2007,1448,835.45,3427.59,810.431,1609.97,898.28,653.25
2/7/2007,1450.02,835.96,3452.35,816.217,1612.38,900.16,653.75
2/8/2007,1448.31,834.97,3453.34,816.411,1613.64,900.47,656
2/9/2007,1438.06,829.62,3414.16,807.129,1609.04,900.95,664.5
2/12/2007,1433.37,826.74,3408.66,805.812,1607.54,900.74,664.55
2/13/2007,1444.26,835.09,3437.59,812.55,1606.55,901.15,667.8
2/14/2007,1455.3,840.02,3443.94,814.007,1615.1,902.94,668.25
2/15/2007,1456.81,839.63,3450.19,815.449,1618.39,904.47,664.75
2/16/2007,1455.54,840.01,3461.76,818.173,1620.06,905.95,665.1
2/19/2007,,,,,,,670.75
2/20/2007,1459.68,841.75,3495.48,826.134,1622.62,906.95,663.9
2/21/2007,1457.63,840.18,3500.79,827.352,1622.16,907.95,661.25
2/22/2007,1456.38,838.95,3509.86,829.458,1618.79,908.38,676.6
2/23/2007,1451.19,835.61,3498.04,826.655,1623.49,908.13,683
2/26/2007,1449.38,835.38,3485.69,823.706,1628.31,909,685.75
2/27/2007,1399.04,806.9,3354.89,792.679,1637.89,906.5,676.2
2/28/2007,1406.82,811.61,3357.75,793.317,1634.36,906.34,664.2
3/1/2007,1403.17,810.15,3348.27,791.052,1634.08,904.89,670.4
3/2/2007,1387.17,801.04,3282.38,775.462,1636.56,903.17,651.9
3/5/2007,1374.12,791.24,3217.37,760.081,1635.53,900.65,636.75
3/6/2007,1395.41,804.08,3297.06,778.902,1635.12,901.93,643.75
3/7/2007,1391.97,802.23,3284.75,775.918,1638.11,904.67,646.4
3/8/2007,1401.89,808.39,3307.05,781.158,1638.06,907.32,654.25
3/9/2007,1402.85,809.39,3323.93,785.141,1630.5,907.37,652.25
3/12/2007,1406.6,810.73,3340.47,789.022,1633.99,907.58,647.75
3/13/2007,1377.95,793.64,3256.89,769.14,1638.76,905.83,650.8
3/14/2007,1387.17,798.15,3284.89,775.701,1634.1,904.26,643.25
3/15/2007,1392.28,802.45,3318.61,783.628,1633.82,905.35,648.5
3/16/2007,1386.95,798.22,3298.24,778.784,1632.61,905.22,653.2
3/19/2007,1402.06,807.46,3333.33,787.064,1631.14,905.81,655
3/20/2007,1410.94,813.95,3361.29,793.622,1632.56,905.68,659
3/21/2007,1435.04,827.94,3420.18,807.492,1636.05,906.87,658.75
3/22/2007,1434.54,828.53,3422.65,808.065,1629.56,907.69,663
3/23/2007,1436.11,830.13,3428.93,809.529,1627.75,907.89,656.25
3/26/2007,1437.5,830.65,3426.58,808.964,1630.29,908.41,663
3/27/2007,1428.61,826.67,3398.88,802.376,1628.52,907.91,664
3/28/2007,1417.23,820.44,3379.32,797.419,1627.2,906.95,666.75
3/29/2007,1422.53,824.58,3386.18,798.959,1626.52,907.41,661
3/30/2007,1420.86,823.02,3393.7,800.729,1624.99,907.3,661.75
4/2/2007,1424.55,824.57,3404.35,803.237,1625.48,907.42,658.25
4/3/2007,1437.77,831.43,3440.84,811.784,1623.98,907.64,664.25
4/4/2007,1439.37,831.21,3436.91,810.809,1624.87,907.04,672.25
4/5/2007,1443.76,833.27,3447.89,813.371,1623.33,907.47,673.5
4/9/2007,1444.61,834.26,3440.72,811.662,1618.43,908.09,
4/10/2007,1448.39,836.87,3452.88,814.525,1621.52,908.81,677.4
4/11/2007,1438.87,831.59,3426.64,808.262,1621.5,909.33,678.2
4/12/2007,1447.8,835.26,3455.65,815.065,1621.81,909.62,677.25
4/13/2007,1452.85,838.36,3474.05,819.398,1619.38,910.2,681.75
4/16/2007,1468.47,847.46,3525.22,831.464,1623,911.81,686.5
4/17/2007,1471.48,847.9,3514.76,828.977,1627.79,912.99,688
4/18/2007,1472.5,850.11,3495.38,824.398,1631.43,914.05,688.75
4/19/2007,1470.73,848.31,3473.95,819.34,1630.3,914.66,681.9
4/20/2007,1484.35,856.25,3514.41,828.879,1631,915.88,691.4
4/23/2007,1480.93,853.76,3508.87,827.57,1634.26,917.16,688.7
4/24/2007,1480.41,851.68,3503.82,826.376,1636.93,918.05,688.4
4/25/2007,1495.42,860.57,3528.13,832.087,1634.27,918.32,684
4/26/2007,1494.25,859.5,3535.93,833.817,1630.41,918.65,673
4/27/2007,1494.07,857.66,3518.72,829.718,1629.11,918.47,677.5
4/30/2007,1482.37,852.19,3454.65,814.589,1636.91,919.09,677
5/1/2007,1486.3,853.94,3461.82,816.272,1636.14,919.09,673.6
5/2/2007,1495.92,859.03,3513.67,828.479,1636.18,919.63,669.5
5/3/2007,1502.39,863.55,3515.64,828.886,1633.53,920.01,674.2
5/4/2007,1505.62,865.38,3532.77,832.898,1637.51,920.7,688.8
5/7/2007,1509.48,868.2,3528.6,831.891,1638.95,921.53,
5/8/2007,1507.72,867.2,3524.63,830.915,1638.85,921.77,684.25
5/9/2007,1512.58,870.4,3541.29,834.786,1634.87,922.15,683
5/10/2007,1491.47,858.46,3472.97,818.65,1637.48,922.87,673.5
5/11/2007,1505.85,867.33,3519.53,829.559,1635.24,922.94,669
5/14/2007,1503.15,866.44,3489.03,822.351,1635.09,924.21,670.2
5/15/2007,1501.19,866.3,3454.61,814.197,1633.34,924.1,668.25
5/16/2007,1514.14,873.53,3480.29,820.221,1634.2,924.44,667.75
5/17/2007,1512.75,873.28,3461.07,815.664,1630.04,924.25,656.75
5/18/2007,1522.75,878.4,3495.16,823.68,1625.82,924.24,657
5/21/2007,1525.1,880.35,3537.57,833.665,1627.97,925.42,658
5/22/2007,1524.12,879.65,3564.31,839.945,1624.28,925.62,662
5/23/2007,1522.28,878.09,3550.11,836.56,1621.85,925.85,662.05
5/24/2007,1507.51,868.86,3496.15,823.821,1622.19,925.84,659
5/25/2007,1515.73,873.61,3522.23,829.954,1621.8,925.61,655.3
5/29/2007,1518.11,874.88,3554.68,837.549,1621.2,926.14,660.15
5/30/2007,1530.23,881.83,3580.01,843.371,1621.06,925.65,652.65
5/31/2007,1530.62,880.37,3596.14,847.164,1620.55,925.96,659.1
6/1/2007,1536.34,884.12,3622.83,853.428,1614.99,925.59,666.5
6/4/2007,1539.18,885.03,3630.01,855.113,1618.7,925.92,671.1
6/5/2007,1530.95,879.73,3601.08,848.286,1614.29,925.71,671.5
6/6/2007,1517.38,871.69,3571.36,841.229,1613.81,923.67,669.7
6/7/2007,1490.72,856.09,3504.04,825.343,1601.82,919.37,668.75
6/8/2007,1507.67,865.41,3546.45,835.331,1599.79,917.79,655.25
6/11/2007,1509.12,867.05,3537.49,833.2,1599,918.39,650.3
6/12/2007,1493,857.09,3488.95,821.735,1588.85,915.02,647.25
6/13/2007,1515.67,869.99,3535.89,832.562,1593.85,914.91,647.65
6/14/2007,1522.97,873.99,3555.44,837.144,1593.04,915.44,653.25
6/15/2007,1532.91,879.28,3602.48,848.214,1598.35,916.71,653.1
6/18/2007,1531.05,877.93,3594.44,846.301,1601.23,917.98,656
6/19/2007,1533.71,879.84,3603.36,848.364,1606.71,917.45,656.3
6/20/2007,1512.84,865.52,3551.78,836.195,1602.97,916.44,657.7
6/21/2007,1522.19,870.66,3567.22,839.821,1597.95,913.32,650.5
6/22/2007,1502.56,857.91,3545.94,834.765,1600.79,913.03,652.85
6/25/2007,1497.74,855.11,3515.01,827.476,1606.84,911.19,650.75
6/26/2007,1492.89,851.68,3509.57,826.148,1604.15,911.07,647
6/27/2007,1506.35,858.88,3563.47,838.477,1606.89,907.84,642.1
6/28/2007,1505.71,859.1,3566.04,839.02,1603.32,908.23,647.25
6/29/2007,1503.35,858.51,3543.53,833.719,1612.62,909.33,650.5
7/2/2007,1519.43,868.14,3591.92,845.082,1615.66,908.91,654.75
7/3/2007,1524.87,871.17,3605.41,848.224,1611.06,908.54,654.25
7/4/2007,,,,,,,654.15
7/5/2007,1525.4,869.42,3613.8,850.147,1602.65,907.65,651
7/6/2007,1530.44,871.56,3623.23,852.332,1598.52,907.19,648.75
7/9/2007,1531.85,872.69,3627.2,853.256,1602.41,907.54,661.25
7/10/2007,1510.12,858.48,3560.26,837.502,1613.38,905.17,661.7
7/11/2007,1518.76,863.51,3571.17,839.994,1608.26,902.08,663
7/12/2007,1547.7,879.02,3635.91,855.201,1604.87,903.58,667.25
7/13/2007,1552.5,883.01,3638.49,855.794,1607.16,905.63,666.5
7/16/2007,1549.52,880.35,3607.55,848.49,1612.83,907.5,666
7/17/2007,1549.37,879.11,3613.65,849.908,1608.86,906.94,666.5
7/18/2007,1546.17,877.03,3596.77,845.928,1614,903.6,666.75
7/19/2007,1553.08,879.23,3622.13,851.87,1612.4,903.16,674.5
7/20/2007,1534.1,867.45,3556.62,836.458,1617.09,899.3,681.6
7/23/2007,1541.57,870.43,3553.16,835.637,1616.19,895.86,682
7/24/2007,1511.04,850.8,3452.19,811.883,1616.34,890.15,684.3
7/25/2007,1518.09,855.1,3454.95,812.52,1618.47,888.17,674.75
7/26/2007,1482.67,832.82,3365.65,791.503,1623.87,877.19,670
7/27/2007,1458.95,819.35,3308,777.847,1619.73,871.06,660.5
7/30/2007,1473.91,827.26,3335.53,784.25,1613.71,872.43,661.5
7/31/2007,1455.28,817.68,3301.18,776.145,1616.35,877.13,665.5
8/1/2007,1465.81,822.7,3308.91,777.942,1616.25,875.98,665.75
8/2/2007,1472.2,824.87,3334.81,784.005,1618.63,880.09,666.25
8/3/2007,1433.06,800.71,3213.49,755.433,1623.55,880.72,670.5
8/6/2007,1467.67,821.64,3260.33,766.403,1618.86,878.44,671.5
8/7/2007,1476.71,828.03,3293.29,774.133,1618.7,881.36,668
8/8/2007,1497.49,839.08,3384.89,795.598,1612.64,887.94,675.5
8/9/2007,1453.09,812.43,3339.41,784.872,1616.47,887.38,662.6
8/10/2007,1453.64,813.45,3356.07,788.776,1615.94,885.12,668.5
8/13/2007,1452.92,812.2,3318.21,779.807,1617.47,887.76,668.75
8/14/2007,1426.54,797.67,3246.26,762.871,1620.82,886.98,668.35
8/15/2007,1406.7,787.02,3198.41,751.544,1617.31,882.58,667.25
8/16/2007,1411.27,794.57,3272.11,768.832,1621.41,878,662.25
8/17/2007,1445.94,816.39,3345.36,786.029,1616.41,879.89,657.5
8/20/2007,1445.55,815.69,3351.43,787.452,1620.53,881.8,659.5
8/21/2007,1447.12,816.82,3355.56,788.381,1624.36,883.26,657.5
8/22/2007,1464.07,825.92,3398.97,798.56,1622.1,886.15,659.5
8/23/2007,1462.5,824.76,3355.24,788.253,1625.4,887.91,660.75
8/24/2007,1479.37,833.09,3400.74,798.929,1623.72,888.26,660.85
8/27/2007,1466.79,824.88,3360.42,789.45,1627.88,889.63,
8/28/2007,1432.36,804.13,3268.43,767.832,1632.94,889.04,666
8/29/2007,1463.76,820.63,3352.08,787.319,1629.6,888.54,664.25
8/30/2007,1457.64,815.61,3334.46,783.112,1634.11,889.03,666
8/31/2007,1473.99,824.45,3376,792.861,1629.43,889.09,672
9/3/2007,,,,,,,672
9/4/2007,1489.42,833.25,3409.4,800.689,1629.28,891.04,678.75
9/5/2007,1472.29,822.43,3366.15,790.455,1637.72,892.43,680.25
9/6/2007,1478.55,825.49,3376.79,792.923,1633.85,893.06,688.15
9/7/2007,1453.55,812.61,3303.83,775.786,1643.63,892.78,701
9/10/2007,1451.7,810.47,3278.49,769.813,1647.51,892.93,703.5
9/11/2007,1471.49,821.25,3331.56,782.269,1643.34,892.99,704.15
9/12/2007,1471.56,822.07,3313.86,777.904,1638.54,893.53,706
9/13/2007,1483.95,830.61,3324.49,780.35,1631.91,894.6,704.5
9/14/2007,1484.25,831.35,3337.89,783.485,1632.48,895.42,716.35
9/17/2007,1476.65,827.58,3305.21,775.809,1633.61,897.26,719
9/18/2007,1519.78,853.05,3436.62,806.628,1635.85,900.85,714.75
9/19/2007,1529.03,858.55,3482.67,817.396,1635.57,906.25,725.15
9/20/2007,1518.75,850.91,3450.22,809.761,1624.31,904.91,734.5
9/21/2007,1525.75,853.88,3464.56,813.113,1633.58,908.41,737
9/24/2007,1517.74,847.57,3433.46,805.797,1636.95,911.44,730
9/25/2007,1517.22,845.37,3421.6,803.001,1636.27,910.22,728.5
9/26/2007,1525.42,850.47,3449.26,809.121,1637.01,911.92,734.75
9/27/2007,1531.38,854.3,3470.42,814.006,1642.34,912.76,731.75
9/28/2007,1526.75,851,3433.95,805.45,1641.98,912.36,743
10/1/2007,1547.04,863.03,3516.31,824.762,1643.61,912.91,742.5
10/2/2007,1546.63,863.69,3547.1,831.974,1647.98,914.13,731
10/3/2007,1539.6,860.26,3522.49,826.149,1648.75,915.08,730.25
10/4/2007,1542.84,862.94,3535.4,829.152,1653.36,916.89,725.5
10/5/2007,1557.59,870.46,3602.55,844.875,1643.79,917.32,737
10/8/2007,1552.58,865.52,3582.37,840.144,,,733.75
10/9/2007,1565.15,872.75,3606.19,845.721,1644.91,919.03,736
10/10/2007,1562.47,869,3604.07,845.186,1647.24,920.95,741.25
10/11/2007,1554.41,866.75,3560.83,834.98,1647.31,923.31,749
10/12/2007,1561.8,868.64,3587.23,841.169,1645,923.44,749.5
10/15/2007,1548.71,861.87,3536.9,829.357,1648.67,924.45,758.85
10/16/2007,1538.53,854.22,3511.29,823.346,1648.97,922.7,756.75
10/17/2007,1541.24,853.56,3517.91,824.893,1658.76,921.22,762.5
10/18/2007,1540.08,850.51,3518.6,825.033,1659.95,918.14,764.15
10/19/2007,1500.63,829.92,3406.77,798.791,1669.04,916.4,763
10/22/2007,1506.33,832.52,3454.95,810.081,1665.09,915.53,751.25
10/23/2007,1519.59,836.93,3491.03,818.534,1667.14,917.72,758.25
10/24/2007,1515.88,834.41,3458.29,810.849,1673.05,917.91,757.5
10/25/2007,1514.41,832.78,3438.15,806.108,1670.7,917.7,767.5
10/26/2007,1535.28,845.14,3503.4,821.394,1667.82,917.28,779.15
10/29/2007,1540.98,848.05,3505.17,821.716,1670.42,918.16,788.5
10/30/2007,1531.02,840.44,3481.74,816.151,1669.93,917.91,783.25
10/31/2007,1549.38,849.81,3532.47,828.019,1661.7,917.83,789.5
11/1/2007,1508.44,823.32,3392.47,795.176,1670.62,915.86,790.25
11/2/2007,1509.65,820.02,3403.67,797.783,1674.05,915.02,796.5
11/5/2007,1502.17,814.86,3372.43,790.437,1667.9,913.64,804.75
11/6/2007,1520.27,824.75,3420.86,801.77,1664.71,913.72,822.5
11/7/2007,1475.62,797.75,3311.02,775.96,1664.29,911.5,834.5
11/8/2007,1474.77,803.8,3332.14,780.897,1666.9,908.59,841.1
11/9/2007,1453.7,796.58,3295.89,772.382,1668.33,905.99,831.5
11/12/2007,1439.18,789.44,3273.33,767.093,,,803.5
11/13/2007,1481.05,811.88,3367.8,789.155,1664.08,903.35,804.25
11/14/2007,1470.58,806.33,3339.67,782.471,1663.38,904.34,813.5
11/15/2007,1451.15,793.17,3293.34,771.599,1670.6,900.87,794
11/16/2007,1458.74,794.84,3284.43,769.496,1668.67,897.34,789.75
11/19/2007,1433.27,778.59,3202.89,750.335,1674.92,892.34,778.85
11/20/2007,1439.7,781.02,3198.68,749.334,1674.22,889.61,795.5
11/21/2007,1416.77,768.54,3160.5,740.315,1676.61,886.88,798
11/22/2007,,,,,,,803.25
11/23/2007,1440.7,782.16,3223.43,755.033,1678.46,888.49,815.25
11/26/2007,1407.22,762.17,3138.25,735.066,1695.87,890.62,830
11/27/2007,1428.23,773.09,3173.3,743.269,1684.13,887.94,810.75
11/28/2007,1469.02,795.6,3288.22,770.045,1675.08,891.19,801.75
11/29/2007,1469.72,795.04,3271.51,766.059,1678.81,894.5,794.5
11/30/2007,1481.14,805.77,3278.82,767.768,1671.65,897.92,783.5
12/3/2007,1472.42,801.55,3245.63,759.979,1679.03,899.46,784.25
12/4/2007,1462.79,794.82,3211.88,752.065,1675.79,897.3,797.5
12/5/2007,1485.01,806.26,3270.19,765.648,1670.92,898.49,793
12/6/2007,1507.35,820.46,3361.27,786.952,1660.79,898.52,801.5
12/7/2007,1504.66,818.68,3355.21,785.523,1650.01,900,792.5
12/10/2007,1515.96,826.24,3379.52,791.207,1649.96,902.41,809.5
12/11/2007,1477.65,803.64,3273.11,766.279,1667.81,905.14,808.75
12/12/2007,1486.59,806.82,3297.07,771.717,1659.55,903.71,814
12/13/2007,1488.41,807.42,3287.85,769.469,1651.17,901.53,800.7
12/14/2007,1467.95,794.81,3221.57,753.94,1648.15,901.06,789.5
12/17/2007,1445.9,784.4,3158.39,739.108,1653.37,900.48,790.75
12/18/2007,1454.98,789.42,3222.48,754.07,1661.29,900.19,804.25
12/19/2007,1453,787.87,3231.52,756.133,1666.29,899.96,799.75
12/20/2007,1460.12,790.14,3280.45,767.547,1672.46,899.1,795.25
12/21/2007,1484.46,803.47,3357.7,785.61,1659.81,898.01,810.5
12/24/2007,1496.45,810.33,3395.42,794.4,1656.55,898.07,
12/26/2007,1497.66,810.53,3406.97,797.033,1650.28,898.26,
12/27/2007,1476.37,799.12,3308.44,773.515,1658.41,899.17,829
12/28/2007,1478.49,800.29,3301.28,771.768,1668.61,900,833.75
12/31/2007,1468.36,796.04,3276.77,766.037,1674.29,900.54,
1/2/2008,1447.16,785.04,3223.58,753.554,1689.57,900.72,846.75
1/3/2008,1447.16,783.95,3187.15,745.014,1687.17,898.15,858.85
1/4/2008,1411.63,767.3,3087.04,721.602,1690.12,894.14,855
1/7/2008,1416.18,770.35,3097.15,723.961,1690.84,891.35,859.25
1/8/2008,1390.19,753.53,3015.61,704.865,1687.64,889.26,873.5
1/9/2008,1409.13,761.95,3046.73,712.129,1687.14,882.12,877
1/10/2008,1420.33,769.69,3081.42,720.218,1676.42,883.58,884.25
1/11/2008,1401.02,761.37,3015.01,704.655,1685.29,885.25,891
1/14/2008,1416.25,768.3,3048.54,712.49,1685.86,886.03,902
1/15/2008,1380.95,749,2984.14,697.434,1691.8,886.17,913
1/16/2008,1373.2,747.57,2994.8,699.912,1688.41,883.36,889.75
1/17/2008,1333.25,722.61,2912.2,680.577,1694.79,880.09,888.25
1/18/2008,1325.19,715.23,2880.61,673.184,1692.92,878.32,882
1/21/2008,,,,,,,871.25
1/22/2008,1310.5,711.98,2873.75,671.58,1697.66,873.29,875
1/23/2008,1338.6,733.64,2967.33,693.439,1705.37,872.27,888.25
1/24/2008,1352.07,739.06,2964.33,692.728,1688.01,878.14,909.25
1/25/2008,1330.61,727.8,2946.7,688.609,1698.13,884.98,918.25
1/28/2008,1353.97,744.21,3005.69,702.386,1698.18,884.5,921.75
1/29/2008,1362.3,752.23,3018.2,705.199,1693.26,888.47,924.5
1/30/2008,1355.81,748.48,2976.96,695.488,1686.14,888.66,919
1/31/2008,1378.55,762.75,3053.31,713.298,1691.33,888.52,923.25
2/1/2008,1395.42,773.51,3127.08,730.5,1697.51,889.87,914.75
2/4/2008,1380.82,764.41,3096.96,723.461,1695.82,891.18,893.75
