,S&P 500 INDEX,Russell 1000 Value Index,Russell 2000 Total Return Index,Russell 2000 Index,Bloomberg US Corporate Total Return Value Unhedged USD,Bloomberg US Corporate High Yield Total Return Index Value Unhedged USD,LBMA Gold Price PM USD
,SPX Index,RLV Index,RU20INTR Index,RTY Index,LUACTRUU Index,LF98TRUU Index,GOLDLNPM Index
2/5/2008,1336.64,738.31,3003.36,701.578,1702.14,888.98,887.5
2/6/2008,1326.45,733.58,2964.68,692.493,1698.62,887.58,903
2/7/2008,1336.91,739.42,3008.84,702.777,1685.55,883.58,899.75
2/8/2008,1331.29,733.21,2992.44,698.928,1692.13,880.28,916.25
2/11/2008,1339.13,734.1,2995.94,699.746,1695.64,877.44,918
2/12/2008,1348.86,741.16,3020.56,705.482,1688.25,875.61,917
2/13/2008,1367.21,749.47,3091.72,721.931,1686.52,876.36,899
2/14/2008,1348.86,740.15,3020.63,705.319,1676.16,877.06,906
2/15/2008,1350,742.14,3004.39,701.523,1678.18,875.45,912.5
2/18/2008,,,,,,,903.25
2/19/2008,1348.78,741.46,3007.93,702.345,1668.57,875.02,924
2/20/2008,1360.03,747.02,3041.01,710.023,1664.5,872.55,920
2/21/2008,1342.53,736.92,2982.27,696.28,1678.16,874.92,945
2/22/2008,1353.11,744.18,2978.77,695.426,1676.75,875.28,943
2/25/2008,1371.8,755.16,3043.21,710.464,1666.83,877.42,937.75
2/26/2008,1381.29,759.62,3072.66,717.325,1669.76,880.86,937
2/27/2008,1380.02,758.43,3069.41,716.442,1671.29,881.79,959.5
2/28/2008,1367.68,750.44,3023.83,705.717,1681.56,880.42,959.75
2/29/2008,1330.63,728.55,2940.14,686.18,1693.21,876.4,971.5
3/3/2008,1331.34,728.6,2931.81,684.216,1689.3,875.87,988.5
3/4/2008,1326.75,724.77,2918.01,680.98,1683.65,874.93,984.75
3/5/2008,1333.7,727.35,2930.06,683.741,1669.48,875.19,974.5
3/6/2008,1304.34,709.08,2840.44,662.776,1670.99,874.12,976.5
3/7/2008,1293.37,703.42,2829.12,660.112,1671.39,871.98,972.5
3/10/2008,1273.37,692.15,2760.06,643.966,1678.25,870.7,969.25
3/11/2008,1320.65,722.01,2888.17,673.81,1660.66,868.1,970
3/12/2008,1308.77,714.17,2861.03,667.32,1672.47,866.88,975.5
3/13/2008,1315.48,717.61,2914.6,679.727,1662.14,861.69,995
3/14/2008,1288.14,701.58,2842.53,662.917,1666.99,862.21,1003.5
3/17/2008,1276.6,695.1,2789.21,650.479,1672.02,858.52,1011.25
3/18/2008,1330.74,726.36,2924.61,681.935,1664.04,860.99,1006.75
3/19/2008,1298.42,708.48,2848.29,664.127,1677.15,865.1,958.5
3/20/2008,1329.51,729.32,2922.56,681.421,1679.67,864.65,925.75
3/24/2008,1349.88,737.83,3007.75,701.278,1663.71,869.64,
3/25/2008,1352.99,738.44,3024.92,705.272,1669.77,873.85,926.75
3/26/2008,1341.13,730.77,3011.55,702.112,1669.43,874.39,946.75
3/27/2008,1325.76,723.06,2971.21,692.386,1665.43,875.12,946.75
3/28/2008,1315.22,716.43,2931.89,683.182,1669.17,875.53,934.25
3/31/2008,1322.7,721.5,2952.45,687.967,1671.7,873.38,933.5
4/1/2008,1370.18,749.44,3049.85,710.65,1663.22,874.99,887.75
4/2/2008,1367.53,748.85,3057.07,712.266,1661.56,878.9,890
4/3/2008,1369.31,750.12,3062.89,713.573,1665.05,881.3,896.5
4/4/2008,1370.4,748.54,3063.64,713.729,1680.17,886.3,905.5
4/7/2008,1372.54,752.09,3059.19,712.68,1678.56,891.35,926.5
4/8/2008,1365.54,747.6,3056.06,711.92,1679.77,890.57,915
4/9/2008,1354.49,740.56,2997.97,698.378,1688.44,889.91,917
4/10/2008,1360.55,741.04,3036.96,707.423,1681.35,888.21,928
4/11/2008,1332.83,725.8,2954.55,688.164,1686.55,888.78,927.75
4/14/2008,1328.32,721.98,2945.63,686.073,1683.06,888.29,926.5
4/15/2008,1334.43,727.01,2971.37,692.062,1676.86,889.5,929.75
4/16/2008,1364.71,744.15,3063.04,713.386,1667.5,891.74,945
4/17/2008,1365.56,745.79,3039.93,707.999,1666.53,892.71,946
4/18/2008,1390.33,755.79,3096.09,721.067,1669.08,899.28,908.75
4/21/2008,1388.17,751.85,3082.97,718.005,1677.41,901.46,918.5
4/22/2008,1375.94,747.63,3021.61,703.712,1678.12,903.11,918
4/23/2008,1379.93,746.9,3040.53,708.11,1678.23,904.03,898.5
4/24/2008,1388.82,753.53,3079.05,717.073,1668.64,904.61,895.5
4/25/2008,1397.84,761.24,3099.69,721.881,1666.91,905.75,891.5
4/28/2008,1396.37,760.35,3115.17,725.371,1673.5,907.76,890.5
4/29/2008,1390.94,757.13,3087.75,718.926,1678.79,908.29,880
4/30/2008,1385.59,755.51,3076.07,716.176,1686.99,911.02,871
5/1/2008,1409.34,767.15,3134.55,729.747,1690.66,913.43,853
5/2/2008,1413.9,770.53,3117.42,725.741,1685.79,916.98,853.5
5/5/2008,1407.49,766.87,3111.46,724.349,1688.13,917.59,
5/6/2008,1418.26,772.72,3134.85,729.786,1681.1,915.22,880
5/7/2008,1392.57,757.56,3076.75,716.214,1684.05,915.53,868.25
5/8/2008,1397.68,759.14,3091.22,719.549,1690.78,914.56,877
5/9/2008,1388.28,753.5,3093.44,720.05,1693.08,913.3,876
5/12/2008,1403.58,761.82,3150.2,733.235,1692.84,913.21,883.5
5/13/2008,1403.04,760.6,3166.05,736.853,1678.33,912.59,865
5/14/2008,1408.66,764.12,3163.13,736.067,1675.5,913.97,866.5
5/15/2008,1423.57,771.02,3194.72,743.382,1687.43,916.3,881.25
5/16/2008,1425.35,772.05,3185.31,741.175,1688.06,918.14,897
5/19/2008,1426.63,773.82,3173.65,738.451,1691.53,920.76,906.5
5/20/2008,1413.4,766.19,3161.66,735.645,1696.42,920.82,914.5
5/21/2008,1390.71,754.47,3125.19,727.106,1689.71,919.92,923
