Date,IG_Spread,HY_Spread,HY_Change,IG_Change,HY_IG_Spread
2022-09-26,1.63,5.16,0.040000000000000036,0.019999999999999796,3.5300000000000002
2022-09-27,1.66,5.26,0.09999999999999964,0.030000000000000027,3.5999999999999996
2022-09-28,1.82,5.48,0.22000000000000064,0.16000000000000014,3.66
2022-09-29,1.84,5.61,0.1299999999999999,0.020000000000000018,3.7700000000000005
2022-09-30,1.78,5.52,-0.09000000000000075,-0.06000000000000005,3.7399999999999993
2022-10-03,1.8,5.52,0.0,0.020000000000000018,3.7199999999999998
2022-10-04,1.71,5.09,-0.4299999999999997,-0.09000000000000008,3.38
2022-10-05,1.73,4.99,-0.09999999999999964,0.020000000000000018,3.2600000000000002
2022-10-06,1.7,4.9,-0.08999999999999986,-0.030000000000000027,3.2
2022-10-07,1.73,4.98,0.08000000000000007,0.030000000000000027,3.2500000000000004
2022-10-10,1.73,4.98,0.0,0.0,3.2500000000000004
2022-10-11,1.79,5.25,0.2699999999999996,0.06000000000000005,3.46
2022-10-12,1.82,5.33,0.08000000000000007,0.030000000000000027,3.51
2022-10-13,1.81,5.27,-0.0600000000000005,-0.010000000000000009,3.4599999999999995
2022-10-14,1.8,5.22,-0.04999999999999982,-0.010000000000000009,3.42
2022-10-17,1.8,5.14,-0.08000000000000007,0.0,3.34
2022-10-18,1.8,5.04,-0.09999999999999964,0.0,3.24
2022-10-19,1.77,5.05,0.009999999999999787,-0.030000000000000027,3.28
2022-10-20,1.76,5.0,-0.04999999999999982,-0.010000000000000009,3.24
2022-10-21,1.81,5.07,0.07000000000000028,0.050000000000000044,3.2600000000000002
2022-10-24,1.75,5.0,-0.07000000000000028,-0.06000000000000005,3.25
2022-10-25,1.77,5.02,0.019999999999999574,0.020000000000000018,3.2499999999999996
2022-10-26,1.72,4.83,-0.1899999999999995,-0.050000000000000044,3.1100000000000003
2022-10-27,1.72,4.78,-0.04999999999999982,0.0,3.0600000000000005
2022-10-28,1.65,4.55,-0.23000000000000043,-0.07000000000000006,2.9
2022-10-31,1.67,4.64,0.08999999999999986,0.020000000000000018,2.9699999999999998
2022-11-01,1.64,4.46,-0.17999999999999972,-0.030000000000000027,2.8200000000000003
2022-11-02,1.62,4.46,0.0,-0.019999999999999796,2.84
2022-11-03,1.64,4.63,0.16999999999999993,0.019999999999999796,2.99
2022-11-04,1.6,4.62,-0.009999999999999787,-0.039999999999999813,3.02
2022-11-07,1.51,4.53,-0.08999999999999986,-0.09000000000000008,3.0200000000000005
2022-11-08,1.53,4.62,0.08999999999999986,0.020000000000000018,3.09
2022-11-09,1.56,4.82,0.20000000000000018,0.030000000000000027,3.2600000000000002
2022-11-10,1.6,4.68,-0.14000000000000057,0.040000000000000036,3.0799999999999996
2022-11-11,1.6,4.68,0.0,0.0,3.0799999999999996
2022-11-14,1.44,4.52,-0.16000000000000014,-0.16000000000000014,3.0799999999999996
2022-11-15,1.44,4.49,-0.02999999999999936,0.0,3.0500000000000003
2022-11-16,1.47,4.55,0.05999999999999961,0.030000000000000027,3.08
2022-11-17,1.46,4.59,0.040000000000000036,-0.010000000000000009,3.13
2022-11-18,1.45,4.5,-0.08999999999999986,-0.010000000000000009,3.05
2022-11-21,1.43,4.49,-0.009999999999999787,-0.020000000000000018,3.0600000000000005
2022-11-22,1.44,4.44,-0.04999999999999982,0.010000000000000009,3.0000000000000004
2022-11-23,1.43,4.36,-0.08000000000000007,-0.010000000000000009,2.9300000000000006
2022-11-25,1.39,4.35,-0.010000000000000675,-0.040000000000000036,2.96
2022-11-28,1.39,4.49,0.14000000000000057,0.0,3.1000000000000005
