Date,CPI_change_lag1,CPI_yoy_lag1,CPI_change_3m_lag1,Inflation_Regime_lag1,UMich_Sentiment_lag1,CB_Confidence_lag1
2002-05-31,0.8000000000000114,0.01643990929705219,0.5333333333333409,0.0,93.0,108.5
2002-06-30,0.19999999999998863,0.012408347433727984,0.5,0.0,96.9,110.3
2002-07-31,0.09999999999999432,0.010692177827799743,0.36666666666666475,0.0,92.4,106.3
2002-08-31,0.4000000000000057,0.01465614430665152,0.23333333333332953,0.0,88.1,97.4
2002-09-30,0.5,0.01747463359639223,0.3333333333333333,0.0,87.6,94.5
2002-10-31,0.30000000000001137,0.01516002245929271,0.4000000000000057,0.0,86.1,93.7
2002-11-30,0.39999999999997726,0.020270270270270174,0.3999999999999962,0.0,80.6,79.6
2002-12-31,0.30000000000001137,0.022535211267605604,0.3333333333333333,0.0,84.2,84.9
2003-01-31,0.30000000000001137,0.024802705749718212,0.3333333333333333,0.0,86.7,80.7
2003-02-28,0.799999999999983,0.02757456387169399,0.46666666666666856,0.0,82.4,78.8
2003-03-31,1.0,0.03146067415730336,0.6999999999999981,1.0,79.9,64.8
2003-04-30,0.30000000000001137,0.03025210084033625,0.6999999999999981,1.0,77.6,61.4
2003-05-31,-0.700000000000017,0.02175125488008911,0.1999999999999981,0.0,86.0,81.0
2003-06-30,-0.29999999999998295,0.018941504178273005,-0.23333333333332953,0.0,92.1,83.6
2003-07-31,0.19999999999998863,0.01948775055679297,-0.26666666666667044,0.0,89.7,83.5
2003-08-31,0.5999999999999943,0.020555555555555438,0.16666666666666666,0.0,90.9,77.0
2003-09-30,0.8000000000000114,0.02216066481994461,0.5333333333333314,0.0,89.3,81.7
2003-10-31,0.5999999999999943,0.02378318584070782,0.6666666666666666,0.0,87.7,77.0
2003-11-30,-0.19999999999998863,0.02041942604856528,0.4000000000000057,0.0,89.6,81.7
2003-12-31,0.09999999999999432,0.019283746556473913,0.16666666666666666,0.0,93.7,92.5
2004-01-31,0.5,0.020352035203520247,0.13333333333333522,0.0,92.6,94.8
2004-02-29,0.8000000000000114,0.020262869660460092,0.46666666666666856,0.0,103.8,97.7
2004-03-31,0.39999999999997726,0.01688453159041381,0.5666666666666629,0.0,94.4,88.5
2004-04-30,0.4000000000000057,0.017400761283306032,0.5333333333333314,0.0,95.8,88.5
2004-05-31,0.30000000000001137,0.022925764192139875,0.36666666666666475,0.0,94.2,93.0
2004-06-30,0.799999999999983,0.028977583378895444,0.5,0.0,90.2,93.1
2004-07-31,0.700000000000017,0.03167667941015839,0.6000000000000038,1.0,95.6,102.8
2004-08-31,0.19999999999998863,0.02939575394665228,0.5666666666666629,0.0,96.7,105.7
2004-09-30,0.09999999999999432,0.025474254742547275,0.3333333333333333,0.0,95.9,98.7
2004-10-31,0.6000000000000227,0.025391680172879516,0.3000000000000019,0.0,94.2,96.7
2004-11-30,1.0,0.03190914007571655,0.5666666666666723,1.0,91.7,92.9
2004-12-31,0.8999999999999773,0.03621621621621607,0.8333333333333334,1.0,92.8,92.6
2005-01-31,0.0,0.033423180592991875,0.6333333333333258,1.0,97.1,102.7
2005-02-28,-0.09999999999999432,0.028448738593666034,0.266666666666661,0.0,95.5,105.1
2005-03-31,0.8000000000000114,0.030530262453133394,0.23333333333333903,1.0,94.1,104.4
2005-04-30,0.6999999999999886,0.032068412613575736,0.46666666666666856,1.0,92.6,103.0
2005-05-31,0.5999999999999943,0.03361792956243326,0.6999999999999981,1.0,87.7,97.5
2005-06-30,-0.09999999999999432,0.02869287991498415,0.3999999999999962,0.0,86.9,103.1
2005-07-31,0.09999999999999432,0.02541026998411855,0.1999999999999981,0.0,96.0,106.2
2005-08-31,1.200000000000017,0.03067160232681121,0.4000000000000057,1.0,96.5,103.6
2005-09-30,1.1999999999999886,0.03646934460887952,0.8333333333333334,1.0,89.1,105.5
2005-10-31,2.700000000000017,0.04741833508956805,1.7000000000000075,1.0,76.9,87.5
2005-11-30,0.29999999999998295,0.04350104821802936,1.3999999999999961,1.0,74.2,85.2
2005-12-31,-1.0,0.03338549817423053,0.6666666666666666,1.0,81.6,98.3
2006-01-31,0.0,0.03338549817423053,-0.23333333333333903,1.0,91.5,103.8
2006-02-28,1.200000000000017,0.04018789144050117,0.06666666666667236,1.0,91.2,106.8
2006-03-31,0.09999999999999432,0.0363825363825363,0.4333333333333371,1.0,86.7,102.7
2006-04-30,0.29999999999998295,0.03417918177110302,0.5333333333333314,1.0,88.9,107.5
2006-05-31,1.0,0.03613835828600931,0.46666666666665907,1.0,87.4,109.8
2006-06-30,0.6000000000000227,0.03977272727272729,0.6333333333333352,1.0,79.1,104.7
2006-07-31,0.5,0.041817243159525175,0.7000000000000076,1.0,84.9,105.4
2006-08-31,1.0999999999999943,0.041046690610569536,0.733333333333339,1.0,84.7,107.0
2006-09-30,0.9000000000000057,0.03926568077511483,0.8333333333333334,1.0,82.0,100.2
2006-10-31,-1.0,0.02012072434607637,0.3333333333333333,0.0,85.4,105.9
2006-11-30,-0.9000000000000057,0.014063284781516971,-0.3333333333333333,0.0,93.6,105.1
2006-12-31,0.09999999999999432,0.01968702675416467,-0.6000000000000038,0.0,92.1,105.3
2007-01-31,1.0999999999999943,0.025239777889954462,0.09999999999999432,0.0,91.7,110.0
2007-02-28,0.3370000000000175,0.020757651781234232,0.5123333333333354,0.0,96.9,110.2
2007-03-31,0.7889999999999873,0.02420260782347028,0.7419999999999997,0.0,91.3,111.2
2007-04-30,1.0620000000000118,0.027981972959439272,0.7293333333333388,0.0,88.4,108.2
2007-05-31,0.6159999999999854,0.025929247633283525,0.8223333333333281,0.0,87.1,106.3
2007-06-30,0.8509999999999991,0.02709885742672613,0.8429999999999988,0.0,88.3,108.5
2007-07-31,0.4790000000000134,0.02692765113974227,0.648666666666666,0.0,85.3,105.3
2007-08-31,0.3689999999999998,0.023178905864958077,0.5663333333333375,0.0,90.4,111.9
2007-09-30,0.06399999999999295,0.01897448478900876,0.30400000000000205,0.0,83.4,105.6
2007-10-31,0.8799999999999955,0.028338264299802685,0.4376666666666627,0.0,83.4,99.5
2007-11-30,0.6430000000000007,0.03610698365527476,0.5289999999999964,1.0,80.9,95.2
2007-12-31,1.6440000000000055,0.04373267326732666,1.0556666666666672,1.0,76.1,87.8
2008-01-31,0.61099999999999,0.04108813392417532,0.9659999999999987,1.0,75.5,90.6
2008-02-29,0.7290000000000134,0.04294695655165981,0.9946666666666696,1.0,78.4,87.3
2008-03-31,0.5130000000000052,0.04142959270611968,0.6176666666666696,1.0,70.8,76.4
2008-04-30,0.7609999999999957,0.03974903550134434,0.6676666666666714,1.0,69.5,65.9
2008-05-31,0.4939999999999998,0.039037609759888126,0.5893333333333336,1.0,62.6,62.8
2008-06-30,1.2659999999999911,0.04088413823123993,0.8403333333333288,1.0,59.8,58.1
2008-07-31,2.2549999999999955,0.04935966105947864,1.3383333333333287,1.0,56.4,51.0
2008-08-31,1.5529999999999973,0.054975120783418374,1.691333333333328,1.0,61.2,51.9
2008-09-30,-0.3259999999999934,0.053080171620912386,1.1606666666666665,1.0,63.0,58.5
2008-10-31,0.18700000000001182,0.04953319875136075,0.47133333333333854,1.0,70.3,61.4
2008-11-30,-1.882000000000005,0.03731057889956513,-0.6736666666666622,1.0,57.6,38.8
2008-12-31,-3.842000000000013,0.010999174706166848,-1.8456666666666688,0.0,55.3,44.7
2009-01-31,-1.7549999999999955,-0.0002222800255385904,-2.4930000000000043,0.0,60.1,38.6
2009-02-28,0.5349999999999966,-0.0011358601902212717,-1.6873333333333373,0.0,61.2,37.4
2009-03-31,0.7720000000000198,8.463140671510772e-05,-0.14933333333332635,0.0,56.3,25.3
2009-04-30,-0.21000000000000796,-0.004464787676623838,0.36566666666666947,0.0,57.3,26.9
