Date,M2_growth_lag1,M2_growth_3m_lag1,M2_growth_yoy_lag1
2002-11-30,0.007911979231054467,0.01985346676197297,0.06798532879224517
2002-12-31,0.008936237318427853,0.021247539151872052,0.06878886310904875
2003-01-31,0.0036991368680638903,0.020680642141885697,0.06229206874368165
2003-02-28,0.00565802678478744,0.0183981356555869,0.06431174348550628
2003-03-31,0.006211180124223503,0.015647522620308774,0.06520709628064547
2003-04-30,0.0034540542389109863,0.015399522441776003,0.06659396583060695
2003-05-31,0.006321995773975964,0.016069923091481586,0.07331746060595035
2003-06-30,0.010126153585640507,0.02002325501863833,0.07904780854874005
2003-07-31,0.006185774395252475,0.022800081794015492,0.08083481893648825
2003-08-31,0.007813801606077808,0.024316315299297342,0.08096854896354544
2003-09-30,0.009588203203782397,0.02377080783866692,0.08314562900164946
2003-10-31,-0.004486581192382766,0.012911932291493011,0.07371562792504815
2003-11-30,-0.0015954734608615295,0.003455059430328422,0.06358746123249981
2003-12-31,0.0009060955518944702,-0.005174305316762551,0.05512234938608218
2004-01-31,-0.0002798123611225112,-0.0009704426205239258,0.050939543897290385
2004-02-29,0.0013665250749119728,0.001993410214168101,0.04645480979336214
2004-03-31,0.006527350750562988,0.0076207719529257645,0.04678362573099415
2004-04-30,0.005896958410924746,0.01384635648193866,0.04933201554086297
2004-05-31,0.006658113967423995,0.019203893392084836,0.04968249936499869
2004-06-30,0.01238929487489715,0.025139664804469275,0.052034264831609445
2004-07-31,0.00035055850343379547,0.019487162831484772,0.045933157842124483
2004-08-31,0.002102613931410202,0.014873606607624046,0.04000595129854023
2004-09-30,0.004244090858514404,0.0067084149975302765,0.03450082690638756
2004-10-31,0.005444933362879434,0.011835167810892111,0.04482129052420358
2004-11-30,0.004344951355435889,0.014099283114240801,0.051037891268533864
2004-12-31,0.004153735226809507,0.014008040773687114,0.05444819356431574
2005-01-31,0.002840953436460847,0.01138188344195723,0.05773980045441074
2005-02-28,0.0009806210600047383,0.007993981002539341,0.05733217145393854
2005-03-31,0.001259563351371451,0.005088740770803568,0.051798490640007744
2005-04-30,0.0014598766870117519,0.0037045684489065422,0.04715893405219318
2005-05-31,0.0020935750507886652,0.00482055109784163,0.04241075029440711
2005-06-30,0.0026617970225013554,0.006227771824379946,0.032394792612776335
2005-07-31,0.0050470751659206226,0.009832048757036693,0.03724175281543185
2005-08-31,0.004883517361057743,0.012643535856881938,0.040120169763634195
2005-09-30,0.005012607931535129,0.015017749652724177,0.04091614169489377
2005-10-31,0.005139668202484682,0.015111261268178966,0.040600107049526324
2005-11-30,0.005113387089453969,0.015343470619698873,0.04139628201511014
2005-12-31,0.0025286352895137476,0.01283396438726947,0.03971090957338874
2006-01-31,0.004068641434083586,0.011754738960076283,0.04098373414273482
2006-02-28,0.006324949908789179,0.012974307259290496,0.046541643341419414
2006-03-31,0.003655220576217255,0.014112630804570037,0.04904564444237369
2006-04-30,0.0021614579477993168,0.012186369209605585,0.04978056231875061
2006-05-31,0.0055544886472751465,0.011411420335507572,0.05340617165495676
2006-06-30,0.0009989863227020113,0.00873465883014779,0.05165920666769552
2006-07-31,0.005591675594757595,0.012187375356388364,0.05222906460678467
2006-08-31,0.006100586707142641,0.012737075614450255,0.05350347673263545
2006-09-30,0.004569455727051253,0.01634941368125986,0.05303894287061106
2006-10-31,0.003942181340341522,0.01468227327125704,0.05178439055384931
2006-11-30,0.007091076462804269,0.01568121155854696,0.053853911106428454
2006-12-31,0.005070197237813767,0.01618749187737345,0.056525590403410986
2007-01-31,0.006096174614903749,0.01836775789655376,0.05865905080893574
2007-02-28,0.005395404019717276,0.016653098533213395,0.057681163727136164
2007-03-31,0.0022477276877905794,0.013798101517649153,0.056197906642782014
2007-04-30,0.004751692527648066,0.012443327071651522,0.05892780642016149
2007-05-31,0.010114115119555844,0.017195116811598243,0.06372945099825178
2007-06-30,0.0019197038960321322,0.016862200916698322,0.06470786797188022
2007-07-31,0.0045764066936839765,0.016684802321363934,0.06363291397880855
2007-08-31,0.00423996267735105,0.010772439128813538,0.06166589300220493
2007-09-30,0.01039802150655178,0.01932566923055723,0.06782573536844239
2007-10-31,0.002461188943581938,0.017179395702406675,0.06625050342327832
2007-11-30,0.0020369620936193655,0.014948009892467251,0.06089949583672549
2007-12-31,0.003432910165452885,0.007951533510034192,0.059171261297106925
2008-01-31,0.004065149726306672,0.00956427896937817,0.057033092752927006
2008-02-29,0.0044896377557157585,0.012035379168293225,0.05608080581037611
2008-03-31,0.011506484868639921,0.02017816893849944,0.06583687257334292
2008-04-30,0.008679642293529799,0.0248667138791272,0.07000362713093944
2008-05-31,0.005541069100391205,0.02593947455936152,0.06515944590992584
2008-06-30,0.001646677471636826,0.015938979484481752,0.0648691864472195
2008-07-31,0.002420649303577882,0.009634941329856428,0.06258404456763356
2008-08-31,0.0061080334198531094,0.010204213938411755,0.06456064601636902
2008-09-30,0.0018739090255672775,0.010433386837881198,0.055579596473197324
2008-10-31,0.00853211714366231,0.016593706013765752,0.061972210980709486
2008-11-30,0.01302017173924086,0.02357788273950101,0.07361236386155268
2008-12-31,0.006532997278962727,0.028337902585257035,0.07692926907802944
2009-01-31,0.022137784975707175,0.042210761648290296,0.09631341947380401
2009-02-28,0.010274598705619864,0.03938607380656811,0.10262720319255081
2009-03-31,0.0036554469779224164,0.0364146007225612,0.09406891109942128
